dataset,HNs,HEs,pins,avgHEsize,sdHEsize,sd/avg,minHEsize,maxHEsize,avgHNdegree,sdHNdegree,minHnDegree,maxHnDegree,best_matching_pattern,best_merging_pattern,best_construction_pattern
sat_gss-20,63006,94748,223300,2.35678,0.480456,0.2038612,1,3,3.54411,3.27953,1,39,P3,P1,P3
sat_gss-20_p,31503,94748,223300,2.35678,0.480456,0.2038612,1,3,7.08821,6.48696,3,78,P3,P1,P3
sat_gss-22_d,95110,31616,224220,7.09198,6.4881,0.914850296,3,80,2.35748,0.48066,1,3,P3,P1,P3
sat_gss-22,63232,95110,224220,2.35748,0.48066,0.203887202,1,3,3.54599,3.28007,1,40,P3,P1,P3
sat_gss-22_p,31616,95110,224220,2.35748,0.48066,0.203887202,1,3,7.09198,6.4881,3,80,P3,P1,P2
sat_k45_d,488120,163622,1138944,6.96082,15.1644,2.178536437,1,423,2.33333,0.471411,1,3,P3,P1,P2
sat_k45,327243,488120,1138944,2.33333,0.471411,0.202033574,1,3,3.48042,7.59858,1,212,P3,P1,P3
sat_k45_p,163622,488120,1138944,2.33333,0.471411,0.202033574,1,3,6.96082,15.1644,1,423,P3,P1,P3
sat_itox_d,441729,152256,1143974,7.51349,47.9814,6.386033654,1,13119,2.58976,0.536717,1,3,P3,P3,P3
sat_itox,294326,441729,1143974,2.58976,0.536717,0.207245845,1,3,3.88676,24.4079,1,6591,P3,P1,P3
sat_itox_p,152256,441729,1143974,2.58976,0.536717,0.207245845,1,3,7.51349,47.9814,1,13119,P1,P1,P2
sat_k2fix_d,305160,11313,619119,54.7263,46.2323,0.844791261,1,275,2.02883,0.448338,2,9,P2,P2,P2b
sat_k2fix,22617,305160,619119,2.02883,0.448338,0.220983523,2,9,27.3741,42.0016,1,274,P3,P1,P3
sat_k2fix_p,11313,305160,619119,2.02883,0.448338,0.220983523,2,9,54.7263,46.2323,1,275,P3,P1,P3
sat_manol_c10_i_d,750877,252516,1752045,6.93835,21.8239,3.145402005,2,4133,2.33333,0.471407,1,3,P3,P3,P3
sat_manol_c10_i,505032,750877,1752045,2.33333,0.471407,0.20203186,1,3,3.46918,10.9233,1,2067,P1,P1,P3
sat_manol_c10_i_p,252516,750877,1752045,2.33333,0.471407,0.20203186,1,3,6.93835,21.8239,2,4133,P3,P1,P2
sat_manol_c10_d,1291714,433601,3013998,6.95109,20.6106,2.965088928,2,4195,2.33333,0.471406,1,3,P3,P3,P3
sat_manol_c10,867202,1291714,3013998,2.33333,0.471406,0.202031431,1,3,3.47554,10.3174,1,2098,P1,P1,P3
sat_manol_c10_p,433601,1291714,3013998,2.33333,0.471406,0.202031431,1,3,6.95109,20.6106,2,4195,P3,P1,P2
sat_manol_c8_d,799867,269048,1866355,6.93688,16.726,2.41117044,2,2173,2.33333,0.471407,1,3,P3,P3,P2
sat_manol_c8,538096,799867,1866355,2.33333,0.471407,0.20203186,1,3,3.46844,8.37781,1,1087,P1,P1,P2
sat_manol_c8_p,269048,799867,1866355,2.33333,0.471407,0.20203186,1,3,6.93688,16.726,2,2173,P3,P1,P3
sat_manol_g10_i_d,792175,266405,1848407,6.93833,21.6821,3.124973877,2,4183,2.33333,0.471407,1,3,P2,P3,P3
sat_manol_g10_i,532810,792175,1848407,2.33333,0.471407,0.20203186,1,3,3.46917,10.8525,1,2092,P3,P1,P3
sat_manol_g10_i_p,266405,792175,1848407,2.33333,0.471407,0.20203186,1,3,6.93833,21.6821,2,4183,P3,P1,P3
sat_MD5-28-1_d,62558,8282,243772,29.434,28.0526,0.953067881,4,100,3.89674,0.97765,1,6,P3,P1,P2b
sat_MD5-28-1,16564,62558,243772,3.89674,0.97765,0.250889205,1,6,14.717,14.1668,2,55,P3,P1,P3
sat_MD5-28-1_p,8282,62558,243772,3.89674,0.97765,0.250889205,1,6,29.434,28.0526,4,100,P1,P1,P3
sat_MD5-28-2_d,62554,8281,243760,29.4361,28.0535,0.953030463,4,100,3.89679,0.977655,1,6,P1,P3,P2
sat_MD5-28-2,16562,62554,243760,3.89679,0.977655,0.250887269,1,6,14.718,14.1673,2,55,P3,P1,P3
sat_MD5-28-2_p,8281,62554,243760,3.89679,0.977655,0.250887269,1,6,29.4361,28.0535,4,100,P3,P1,P3
sat_MD5-28-4_d,62544,8281,243722,29.4315,28.0549,0.953226985,4,100,3.89681,0.97785,1,6,P3,P2,P2b
sat_MD5-28-4,16562,62544,243722,3.89681,0.97785,0.250936022,1,6,14.7157,14.168,2,55,P1,P3,P3
sat_MD5-28-4_p,8281,62544,243722,3.89681,0.97785,0.250936022,1,6,29.4315,28.0549,4,100,P1,P1,P3
sat_MD5-29-4_d,65312,8590,254884,29.6722,28.3167,0.954317509,4,100,3.90256,0.977468,1,6,P3,P1,P2b
sat_MD5-29-4,17180,65312,254884,3.90256,0.977468,0.25046841,1,6,14.8361,14.2987,2,55,P3,P1,P2
sat_MD5-29-4_p,8590,65312,254884,3.90256,0.977468,0.25046841,1,6,29.6722,28.3167,4,100,P3,P1,P3
sat_MD5-30-4_d,68106,8905,266116,29.8839,28.5141,0.954162609,4,100,3.90738,0.977155,1,6,P2,P1,P2b
sat_MD5-30-4,17810,68106,266116,3.90738,0.977155,0.250079337,1,6,14.9419,14.3974,2,55,P3,P1,P2
sat_MD5-30-4_p,8905,68106,266116,3.90738,0.977155,0.250079337,1,6,29.8839,28.5141,4,100,P3,P1,P3
sat_MD5-30-5_d,68103,8905,266105,29.8827,28.5143,0.954207618,4,100,3.90739,0.9772,1,6,P3,P3,P2b
sat_MD5-30-5,17810,68103,266105,3.90739,0.9772,0.250090214,1,6,14.9413,14.3975,2,55,P1,P1,P2
