id,dataset,k=2,k=3,k=4,
93,sat_enc3_opt2_21_p,1.300,1.248,1.262,
94,sat_enc3_opt2_12_d,1.799,1.839,1.982,
95,sat_enc3_opt2_12,1.428,1.501,1.461,
96,sat_enc3_opt2_12_p,1.002,1.017,1.015,
97,sat_enc3_opt2_14_d,1.830,1.880,1.851,
98,sat_enc3_opt2_14,1.444,1.454,1.494,
99,sat_enc3_opt2_14_p,1.011,1.006,1.028,
100,sat_blocks_d,2.745,2.960,2.792,
101,sat_blocks,1.796,1.806,1.629,
102,sat_blocks_p,1.310,1.371,1.362,
103,sat_bob-opt_d,0.090,0.116,0.123,
104,sat_bob-opt,0.147,0.174,0.199,
105,sat_bob-opt_p,0.095,0.122,0.212,
106,sat_bob_d,0.077,0.077,0.079,
107,sat_bob,0.095,0.128,0.000,
108,sat_bob_p,0.075,0.095,0.085,
109,sat_c10_d,0.203,0.272,0.217,
110,sat_c10,0.274,0.296,0.305,
111,sat_c10_p,2.884,0.227,0.256,
112,sat_count_d,0.045,0.052,0.058,
113,sat_count,0.053,0.068,0.071,
114,sat_count_p,0.045,0.052,0.056,
115,sat_ctl_d,0.078,0.102,0.128,
116,sat_ctl,0.060,0.072,0.078,
117,sat_ctl_p,0.066,0.093,0.125,
118,sat_ctl_5_d,0.175,0.244,0.205,
119,sat_ctl_5,0.139,0.177,0.182,
120,sat_ctl_5_p,0.116,0.222,0.168,
121,sat_dated_11_d,0.282,0.282,0.253,
122,sat_dated_11,0.305,0.295,0.261,
123,sat_dated_11_p,0.244,0.206,0.255,
124,sat_dated_17_d,0.478,0.388,0.405,
125,sat_dated_17,0.899,0.405,0.363,
126,sat_dated_17_p,0.260,0.382,0.298,
127,sat_E02F20_d,1.850,2.508,2.202,
128,sat_E02F20,0.156,0.248,0.272,
129,sat_E02F20_p,0.161,0.406,0.686,
130,sat_E02F22_d,10.762,15.918,14.318,
131,sat_E02F22,0.398,0.461,0.513,
132,sat_E02F22_p,0.355,0.532,1.484,
133,sat_gss-18_d,0.063,0.071,0.068,
134,sat_gss-18,0.078,0.097,0.094,
135,sat_gss-18_p,0.057,0.063,0.065,
136,sat_gss-19_d,0.065,0.069,0.074,
137,sat_gss-19,0.082,0.095,0.113,
138,sat_gss-19_p,0.061,0.063,0.067,
