id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
155,sat_manol_c10_i,7412,0.803,9520,1.015,13178,1.050,
156,sat_manol_c10_i_p,5945,0.573,9299,0.958,14122,0.762,
157,sat_manol_c10_d,1418,1.249,2159,1.511,2298,1.466,
158,sat_manol_c10,8724,1.314,19187,1.601,22274,1.673,
159,sat_manol_c10_p,8682,0.910,15581,1.108,21108,1.144,
160,sat_manol_c8_d,1097,0.772,1764,0.889,1990,0.924,
161,sat_manol_c8,6298,0.848,11940,1.078,14522,1.102,
162,sat_manol_c8_p,5882,0.595,11063,0.786,15332,0.863,
163,sat_manol_g10_i_d,1043,0.759,1631,0.895,1801,0.906,
164,sat_manol_g10_i,7418,0.846,10619,1.073,13532,1.115,
165,sat_manol_g10_i_p,6316,0.597,13801,0.754,18554,0.797,
166,sat_MD5-28-1_d,538,0.087,675,0.104,875,0.117,
167,sat_MD5-28-1,3944,0.110,5687,0.165,6476,0.189,
168,sat_MD5-28-1_p,3512,0.088,5486,0.123,6440,0.138,
169,sat_MD5-28-2_d,534,0.084,679,0.104,832,0.117,
170,sat_MD5-28-2,3989,0.108,5601,0.165,6586,0.181,
171,sat_MD5-28-2_p,3914,0.089,5967,0.123,6900,0.137,
172,sat_MD5-28-4_d,487,0.083,671,0.105,860,0.114,
173,sat_MD5-28-4,3924,0.111,5952,0.170,6570,0.189,
174,sat_MD5-28-4_p,3856,0.085,5801,0.120,6567,0.133,
175,sat_MD5-29-4_d,574,0.085,682,0.108,881,0.119,
176,sat_MD5-29-4,4040,0.112,5777,0.172,6929,0.192,
177,sat_MD5-29-4_p,4049,0.090,5796,0.129,6927,0.140,
178,sat_MD5-30-4_d,517,0.091,766,0.126,877,0.119,
179,sat_MD5-30-4,4402,0.116,6094,0.181,6958,0.193,
180,sat_MD5-30-4_p,4614,0.090,6290,0.137,7383,0.148,
181,sat_MD5-30-5_d,513,0.089,759,0.114,963,0.119,
182,sat_MD5-30-5,4410,0.118,6333,0.183,6872,0.190,
183,sat_MD5-30-5_p,4459,0.092,6307,0.133,7413,0.139,
184,sat_min_d,865,0.670,1272,0.741,1471,0.750,
185,sat_min,2298,0.685,13198,0.801,25823,0.896,
186,sat_min_p,2283,0.450,12769,0.518,24116,0.573,
187,sat_p30_d,188,1.149,374,1.315,568,1.375,
188,sat_p30,3334,1.002,6857,1.094,10091,1.105,
