id,dataset,k=2,k=3,k=4,
157,sat_manol_c10_d,1.003,1.574,1.89,
158,sat_manol_c10,2.437,3.499,4.333,
159,sat_manol_c10_p,1.852,2.874,3.52,
160,sat_manol_c8_d,0.498,0.833,0.942,
161,sat_manol_c8,1.082,1.871,2.193,
162,sat_manol_c8_p,1.218,1.531,2.071,
163,sat_manol_g10_i_d,0.551,0.778,0.986,
164,sat_manol_g10_i,1.268,2.088,2.413,
165,sat_manol_g10_i_p,1.195,1.764,2.187,
166,sat_MD5-28-1_d,0.03,0.045,0.052,
167,sat_MD5-28-1,0.108,0.166,0.185,
168,sat_MD5-28-1_p,0.077,0.113,0.128,
169,sat_MD5-28-2_d,0.03,0.047,0.056,
170,sat_MD5-28-2,0.1,0.175,0.187,
171,sat_MD5-28-2_p,0.076,0.118,0.133,
172,sat_MD5-28-4_d,0.03,0.045,0.05,
173,sat_MD5-28-4,0.112,0.174,0.186,
174,sat_MD5-28-4_p,0.077,0.121,0.134,
175,sat_MD5-29-4_d,0.031,0.047,0.057,
176,sat_MD5-29-4,0.1,0.17,0.19,
177,sat_MD5-29-4_p,0.088,0.132,0.148,
178,sat_MD5-30-4_d,0.032,0.05,0.061,
179,sat_MD5-30-4,0.12,0.166,0.201,
180,sat_MD5-30-4_p,0.086,0.132,0.141,
181,sat_MD5-30-5_d,0.031,0.047,0.056,
182,sat_MD5-30-5,0.102,0.179,0.197,
183,sat_MD5-30-5_p,0.087,0.131,0.145,
184,sat_min_d,0.518,0.75,0.951,
185,sat_min,0.958,1.37,1.87,
186,sat_min_p,0.743,1.248,1.388,
187,sat_p30_d,1.206,1.934,2.352,
188,sat_p30,1.841,3.151,3.913,
189,sat_p30_p,2.076,3.26,4.094,
190,sat_p30_NOT_d,0.311,0.471,0.639,
191,sat_p30_NOT,0.563,0.91,1.123,
192,sat_p30_NOT_p,0.586,0.948,1.206,
193,sat_non_p30_d,1.211,1.933,2.347,
194,sat_non_p30,1.849,3.156,3.923,
195,sat_non_p30_p,2.078,3.25,4.093,
196,sat_post_d,0.867,1.407,1.654,
197,sat_post,1.37,2.181,2.731,
198,sat_post_p,1.028,1.733,1.978,
199,sat_post-ee_d,0.832,1.372,1.614,
200,sat_post-ee,1.308,2.033,2.656,
201,sat_post-ee_p,0.931,1.577,1.837,
202,sat_L100_d,1.365,2.007,3.118,
203,sat_L100,2.317,3.82,4.69,
204,sat_L100_p,2.333,3.092,4.536,
205,sat_L150_d,2.549,5.192,6.43,
206,sat_L150,3.91,7.208,12.401,
207,sat_L150_p,5.7,5.705,9.157,
208,sat_L200_d,3.639,4.785,5.816,
209,sat_L200,5.972,12.91,13.736,
