id,dataset,k=2,k=3,k=4,
162,sat_manol_c8_p,0.923,0.858,1.48,
163,sat_manol_g10_i_d,0.213,0.443,0.437,
164,sat_manol_g10_i,0.774,1.37,1.708,
165,sat_manol_g10_i_p,0.73,1.183,1.514,
166,sat_MD5-28-1_d,0.044,0.068,0.075,
167,sat_MD5-28-1,0.084,0.143,0.142,
168,sat_MD5-28-1_p,0.07,0.095,0.117,
169,sat_MD5-28-2_d,0.047,0.154,0.171,
170,sat_MD5-28-2,0.094,0.132,0.17,
171,sat_MD5-28-2_p,0.071,0.104,0.138,
172,sat_MD5-28-4_d,0.042,0.07,0.077,
173,sat_MD5-28-4,0.095,0.125,0.175,
174,sat_MD5-28-4_p,0.06,0.093,0.119,
175,sat_MD5-29-4_d,0.042,0.071,0.173,
176,sat_MD5-29-4,0.076,0.118,0.159,
177,sat_MD5-29-4_p,0.083,0.122,0.151,
178,sat_MD5-30-4_d,0.047,0.082,0.167,
179,sat_MD5-30-4,0.094,0.112,0.151,
180,sat_MD5-30-4_p,0.075,0.102,0.156,
181,sat_MD5-30-5_d,0.047,0.064,0.096,
182,sat_MD5-30-5,0.064,0.14,0.194,
183,sat_MD5-30-5_p,0.084,0.106,0.168,
184,sat_min_d,0.242,0.362,0.583,
185,sat_min,0.45,0.662,1.068,
186,sat_min_p,0.393,0.852,0.939,
187,sat_p30_d,0.328,0.974,0.792,
188,sat_p30,0.72,1.478,2.024,
189,sat_p30_p,0.997,1.598,2.203,
190,sat_p30_NOT_d,0.102,0.198,0.315,
191,sat_p30_NOT,0.342,0.538,0.734,
192,sat_p30_NOT_p,0.346,0.587,0.91,
193,sat_non_p30_d,0.331,0.969,0.785,
194,sat_non_p30,0.728,1.506,2.027,
195,sat_non_p30_p,0.998,1.604,2.223,
196,sat_post_d,0.295,0.551,0.688,
197,sat_post,0.586,0.888,1.379,
198,sat_post_p,0.571,1.069,1.219,
199,sat_post-ee_d,0.268,0.541,0.661,
200,sat_post-ee,0.499,0.834,1.266,
201,sat_post-ee_p,0.41,0.801,0.986,
202,sat_L100_d,0.652,1.005,1.948,
203,sat_L100,1.262,2.398,3.281,
204,sat_L100_p,1.411,1.902,3.217,
205,sat_L150_d,1.551,2.84,4.78,
206,sat_L150,1.976,4.414,9.227,
207,sat_L150_p,4.128,3.574,7.191,
208,sat_L200_d,1.663,2.357,2.953,
209,sat_L200,3.005,8.038,8.582,
210,sat_L200_p,6.259,5.855,10.099,
211,sat_L80_d,0.421,1.431,0.861,
212,sat_L80,0.819,1.516,2.334,
213,sat_L80_p,0.992,1.468,2.64,
214,sat_k100_1d,1.293,2.491,5.514,
