id,dataset,k=2,k=3,k=4,
120,sat_ctl_5_p,0.084,0.130,0.139,
121,sat_dated_11_d,0.182,0.195,0.201,
122,sat_dated_11,0.192,0.205,0.214,
123,sat_dated_11_p,0.153,0.171,0.176,
124,sat_dated_17_d,0.298,0.329,0.337,
125,sat_dated_17,0.315,0.345,0.348,
126,sat_dated_17_p,0.257,0.279,0.289,
127,sat_E02F20_d,2.225,2.878,2.484,
128,sat_E02F20,0.117,0.146,0.178,
129,sat_E02F20_p,0.117,0.330,0.673,
130,sat_E02F22_d,16.147,23.926,21.175,
131,sat_E02F22,0.397,0.467,0.526,
132,sat_E02F22_p,0.362,0.551,1.600,
133,sat_gss-18_d,0.062,0.069,0.068,
134,sat_gss-18,0.054,0.071,0.084,
135,sat_gss-18_p,0.065,0.062,0.069,
136,sat_gss-19_d,0.052,0.062,0.057,
137,sat_gss-19,0.064,0.076,0.084,
138,sat_gss-19_p,0.065,0.067,0.071,
139,sat_gss-20_d,0.061,0.067,0.070,
140,sat_gss-20,0.071,0.076,0.075,
141,sat_gss-20_p,0.057,0.064,0.055,
142,sat_gss-22_d,0.068,0.041,0.053,
143,sat_gss-22,0.062,0.080,0.090,
144,sat_gss-22_p,0.051,0.067,0.060,
145,sat_k45_d,0.172,0.191,0.195,
146,sat_k45,0.185,0.205,0.211,
147,sat_k45_p,0.128,0.140,0.144,
148,sat_itox_d,0.149,0.148,0.159,
149,sat_itox,0.177,0.212,0.219,
150,sat_itox_p,0.121,0.137,0.155,
151,sat_k2fix_d,0.195,0.240,0.242,
152,sat_k2fix,0.071,0.063,0.067,
153,sat_k2fix_p,0.088,0.107,0.111,
154,sat_manol_c10_i_d,0.288,0.321,0.323,
155,sat_manol_c10_i,0.330,0.384,0.394,
156,sat_manol_c10_i_p,0.218,0.276,0.280,
157,sat_manol_c10_d,0.556,0.608,0.617,
158,sat_manol_c10,0.580,0.660,0.687,
159,sat_manol_c10_p,0.391,0.448,0.473,
160,sat_manol_c8_d,0.318,0.358,0.370,
161,sat_manol_c8,0.362,0.426,0.435,
162,sat_manol_c8_p,0.241,0.311,0.325,
