id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
173,sat_MD5-28-4,3489.8,2.873,5528.4,4.453,6861.0,4.888,
174,sat_MD5-28-4_p,3486.6,0.942,5959.6,1.835,7003.0,1.779,
175,sat_MD5-29-4_d,1476.4,1.794,1607.1999999999998,2.503,2350.6,3.658,
176,sat_MD5-29-4,3957.4,2.96,6131.0,5.253,7134.0,5.944,
177,sat_MD5-29-4_p,3816.2,1.955,5961.2,1.947,7273.4,2.562,
178,sat_MD5-30-4_d,1790.8,1.9,1329.6,3.882,2815.6000000000004,3.292,
179,sat_MD5-30-4,4206.4,2.946,6057.8,4.648,7515.6,6.093,
180,sat_MD5-30-4_p,4267.0,1.116,6283.0,1.729,8041.599999999999,2.154,
181,sat_MD5-30-5_d,1890.6,1.538,1213.6,4.468,2918.6,3.363,
182,sat_MD5-30-5,4247.0,2.819,6166.2,4.745,7600.4,6.204,
183,sat_MD5-30-5_p,4165.0,2.125,6393.2,1.955,7826.200000000001,2.971,
184,sat_min_d,1063.0,36.351,1999.0,41.175,2249.2,66.238,
185,sat_min,2171.0,42.557,9683.8,95.071,21736.6,101.39,
186,sat_min_p,2203.0,26.511,9538.6,65.86,20740.8,72.7,
187,sat_p30_d,471.2,92.315,403.0,146.913,1131.8,171.628,
188,sat_p30,3225.8,73.643,6479.200000000001,131.229,9682.599999999999,143.264,
189,sat_p30_p,4271.0,67.619,8661.8,114.482,12813.0,128.138,
190,sat_p30_NOT_d,221.8,17.803,541.6,27.837,1133.8000000000002,37.584,
191,sat_p30_NOT,3283.6,18.56,6613.799999999999,33.046,9758.6,40.628,
192,sat_p30_NOT_p,4586.8,14.697,9087.400000000001,28.438,13351.0,28.329,
193,sat_non_p30_d,296.2,96.864,362.0,153.149,1700.8,138.097,
194,sat_non_p30,3225.8,78.662,6460.799999999999,123.217,9689.4,137.984,
195,sat_non_p30_p,4430.2,69.677,8542.0,114.423,13123.8,137.611,
196,sat_post_d,3072.0,74.959,6355.0,99.448,9148.4,127.186,
197,sat_post,1846.8,78.056,3127.6000000000004,116.475,3094.2,189.507,
198,sat_post_p,1522.0,60.646,3374.4,90.825,3917.2,92.173,
199,sat_post-ee_d,3068.8,66.551,6419.0,107.708,9155.2,126.573,
200,sat_post-ee,1990.6,76.135,2415.8,101.51,3025.3999999999996,117.486,
201,sat_post-ee_p,3186.8,61.393,3040.8,67.122,3402.8,88.461,
202,sat_L100_d,6211.8,24.684,9956.0,69.851,14056.2,70.476,
203,sat_L100,timeout,123.185,timeout,504.18999999999994,171818.4,404.57,
204,sat_L100_p,timeout,123.185,294555.4,234.954,213943.4,341.821,
205,sat_L150_d,9124.2,75.104,14085.8,131.106,21056.8,140.75,
206,sat_L150,timeout,123.185,timeout,504.18999999999994,282694.0,1092.909,
207,sat_L150_p,timeout,123.185,timeout,504.18999999999994,334022.2,673.688,
208,sat_L200_d,0,673.688,0,673.688,0,673.688,
209,sat_L200,timeout,123.185,timeout,1350.65,
210,sat_L200_p,timeout,123.185,timeout,504.18999999999994,378777.19999999995,891.315,
211,sat_L80_d,4999.8,33.265,7986.4,45.672,11344.0,47.869,
212,sat_L80,47598.0,92.746,112159.6,270.434,135842.4,278.157,
213,sat_L80_p,71772.4,74.513,186604.4,221.218,158800.2,167.589,
214,sat_k100_1d,timeout,123.185,timeout,504.18999999999994,7385.200000000001,689.925,
215,sat_k100_1,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
216,sat_k100_1p,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
217,sat_k100_2d,timeout,123.185,timeout,504.18999999999994,8211.4,632.821,
218,sat_k100_2,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
219,sat_k100_2p,timeout,123.185,timeout,504.18999999999994,4535.4,1183.224,
220,sat_k70_d,timeout,123.185,6055.0,401.614,6365.0,413.394,
221,sat_k70,timeout,123.185,timeout,504.18999999999994,3567.8,1244.706,
222,sat_k70_p,timeout,123.185,timeout,504.18999999999994,4157.0,732.011,
