id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
260,sat_UR-15,1019200,11446,18380,22830,0.0165906,0.0339988,0.0409316
261,sat_UR-15_p,1019200,11461,22871,25838,0.0150223,0.0335474,0.0436962
262,sat_UR-20_d,224569,3364,5180,8261,0.00663812,0.0148924,0.0198523
263,sat_UR-20,1190619,13568,23275,27836,0.0213033,0.0389369,0.0486205
264,sat_UR-20_p,1190619,15164,31724,34304,0.016843,0.0327254,0.0468723
265,sat_UTI_d,260342,360,1078,1903,0.0109231,0.0179144,0.0266546
266,sat_UTI,1391257,974,3693,5888,0.017106,0.0323024,0.0463195
267,sat_UTI_p,1391257,1935,3155,5082,0.0148586,0.0309282,0.0440103
268,sat_2.0_d,151669,2376,3705,6121,0.0177224,0.0371468,0.0394549
269,sat_2.0,2465731,81775,279655,322033,0.0473505,0.141557,0.177822
270,sat_2.0_p,2465731,107679,302520,342687,0.102478,0.136323,0.234975
271,sat_4.0-9_d,96177,1544,2386,7050,0.0356748,0.0273558,0.0553233
272,sat_4.0-9,1814189,99027,218991,219712,0.144455,0.181146,0.192343
273,sat_4.0-9_p,1814189,89605,284477,315023,0.0725732,0.123452,0.122998
274,192bit,13691,10184,21686,27783,0.0149961,0.0143884,0.0257788
275,2cubes,101492,4200,12484,14402,0.00880381,0.012458,0.0191955
276,2D,54019,1025,2235,2316,0.00637439,0.0112508,0.0141996
277,3D,292008,7099,24031,24941,0.0161898,0.0248349,0.0515406
278,ABACUS,23412,328,791,1069,0.00413541,0.0093778,0.00984382
279,af23560,23560,822,1360,2103,0.00447157,0.00685894,0.0102148
280,af_shell,504855,4065,6550,8445,0.0113506,0.0210272,0.0292724
281,airfoil,14214,407,833,1210,0.00374738,0.00823396,0.0102527
282,Andrews,60000,5971,12773,13631,0.00504276,0.0204503,0.0167253
283,appu,14000,13869,27898,42,0.00545005,0.0150052,0.0
284,as-22,22963,920,1286,2628,0.00387762,0.00895262,0.0183856
285,astro,16046,4174,8817,11735,0.0131692,0.0191673,0.0236084
286,atmos,1270432,19927,43428,59732,0.0390495,0.0694065,0.0793155
287,av41092,41092,1820,2238,4182,0.00780395,0.0209737,0.0189575
288,barrier,113076,8979,17490,22545,0.0105463,0.0213416,0.0215289
289,Baumann,112211,2744,4318,6890,0.00655713,0.0162987,0.0278404
290,bayer04,20545,127,209,263,0.00643015,0.00686863,0.0153319
291,bbmat,38744,1185,2242,4400,0.00369237,0.00849511,0.0164956
292,bcsstk,13992,540,1083,1823,0.00779704,0.0108431,0.0177816
293,Ben,245874,2010,3648,6840,0.00735423,0.012922,0.0236232
