id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
218,sat_k100_2,6356692,2391,9673,10791,0.0708684,0.123578,0.159049
219,sat_k100_2p,6356692,2004,4324,13082,0.0600518,0.111611,0.143077
220,sat_k70_d,1131652,701,2035,3096,0.0211646,0.0386704,0.11683
221,sat_k70,4433524,4573,7593,9172,0.039971,0.0752314,0.0947052
222,sat_k70_p,4433524,1192,8180,3585,0.0287182,0.0550504,0.0715079
223,sat_k75_d,1213331,1285,2166,2896,0.0223755,0.0397591,0.0560835
224,sat_k75,4754042,3945,8227,11515,0.0393683,0.0736703,0.0954501
225,sat_k75_p,4754042,1755,7919,16022,0.046443,0.0861219,0.204904
226,sat_k80_d,1295022,730,3866,2764,0.0217715,0.047759,0.0611866
227,sat_k80,5074584,2479,9579,19835,0.0530116,0.100351,0.128633
228,sat_k80_p,5074584,1170,2454,4810,0.0337173,0.0586182,0.0810258
229,sat_k85_2d,1376701,1066,2822,5441,0.0275549,0.0570049,0.0640571
230,sat_k85_2,5395102,4061,7826,15909,0.207127,0.103896,0.272478
231,sat_k85_2p,5395102,1182,4742,3597,0.033901,0.0639569,0.203171
232,sat_k85_3d,1376701,1066,2833,5432,0.0272041,0.0574139,0.0632046
233,sat_k85_3,5395102,4061,7826,15909,0.206457,0.105216,0.271473
234,sat_k85_3p,5395102,1182,4742,3597,0.0329053,0.0639138,0.19966
235,sat_k90_d,1458392,669,3182,7747,0.0256225,0.0452993,0.066545
236,sat_k90,5715644,1472,4918,8814,0.0458694,0.0873488,0.114607
237,sat_k90_p,5715644,1266,2390,3641,0.0745645,0.0641868,0.123201
238,sat_k95_d,1540071,854,3051,4683,0.0265997,0.0478687,0.06613
239,sat_k95,6036162,3956,4823,15626,0.247135,0.118004,0.342003
240,sat_k95_p,6036162,1240,2361,3602,0.0381953,0.0689686,0.096211
241,sat_slp_d,94998,1125,3709,4178,0.0248163,0.047258,0.0519578
242,sat_slp,302862,3912,9631,18074,0.0282077,0.040413,0.0533695
243,sat_slp_p,302862,3736,10672,17518,0.0241609,0.0352956,0.0422856
244,sat_030_d,361750,370,1029,1876,0.0226299,0.0405695,0.0612756
245,sat_030,1934720,14025,27733,45007,0.0412234,0.104004,0.0953574
246,sat_030_p,1934720,15113,51804,72794,0.0341479,0.0506229,0.0798983
247,sat_050_d,602670,740,2099,1726,0.0272898,0.0513001,0.0726961
248,sat_050,3224280,13197,53825,55289,0.0545697,0.124598,0.161518
249,sat_050_p,3224280,13685,52623,84012,0.0430913,0.0830117,0.0994614
250,sat_UCG-10p0_d,199304,1257,5259,4862,0.010626,0.0175166,0.0442716
251,sat_UCG-10p0,1005834,4146,10767,17767,0.0202746,0.0345136,0.0485403
252,sat_UCG-10p0_p,1005834,9318,16145,22203,0.0180588,0.0314678,0.0438222
253,sat_UCG-10p1_d,200003,1880,4097,5426,0.0118818,0.0239561,0.0482908
254,sat_UCG-10p1,1019221,4821,12662,30463,0.0174642,0.0382029,0.037539
255,sat_UCG-10p1_p,1019221,7742,21305,21658,0.0150992,0.024971,0.0381752
256,sat_UCG-5p0_d,224587,2314,5974,6611,0.0118286,0.0564635,0.044867
257,sat_UCG-5p0,1190673,10114,19242,21825,0.0233472,0.0407173,0.0581622
258,sat_UCG-5p0_p,1190673,9083,20459,23681,0.0215838,0.0383917,0.0498899
259,sat_UR-15_d,199996,2995,5415,6876,0.00915408,0.0177092,0.0610875
260,sat_UR-15,1019200,11446,18380,22830,0.0196517,0.0372003,0.0457605
261,sat_UR-15_p,1019200,11461,22871,25838,0.0178624,0.035911,0.0438885
262,sat_UR-20_d,224569,3364,5180,8256,0.0081512,0.0167209,0.0217766
263,sat_UR-20,1190619,13568,23275,27836,0.0244154,0.0448788,0.0552809
264,sat_UR-20_p,1190619,15164,31724,34304,0.0199955,0.0388357,0.0531083
265,sat_UTI_d,260342,297,602,812,0.0118738,0.0184481,0.0408682
266,sat_UTI,1391257,1519,6182,7639,0.0225732,0.0374363,0.0543778
267,sat_UTI_p,1391257,935,3155,6160,0.0188781,0.0336826,0.0489315
268,sat_2.0_d,151669,2376,3344,5868,0.711348,0.754503,0.740625
269,sat_2.0,2465731,86725,270039,321533,0.0721259,0.17928,0.248267
270,sat_2.0_p,2465731,107679,302520,342689,0.119911,0.165543,0.268726
271,sat_4.0-9_d,96177,1544,2383,7562,0.36875,0.384608,0.588576
272,sat_4.0-9,1814189,120037,218795,227823,0.128215,0.147342,0.224203
273,sat_4.0-9_p,1814189,106003,243074,346006,0.0669537,0.0935086,0.150316
274,192bit,13691,10049,21310,0,0.0176751,0.0121441,0.0
275,2cubes,101492,4200,12484,14387,0.00911206,0.0147173,0.0223565
276,2D,54019,1025,2235,2330,0.00681926,0.0099867,0.0137814
277,3D,292008,7099,24031,24941,0.0198053,0.0332388,0.0580496
278,ABACUS,23412,673,697,1066,0.00585926,0.00820726,0.0135908
279,af23560,23560,822,1360,3331,0.00424534,0.00643507,0.0111964
280,af_shell,504855,5060,6240,9200,0.0133348,0.0224877,0.0311615
281,airfoil,14214,407,721,1454,0.00277091,0.0073513,0.00868109
282,Andrews,60000,5610,12138,12856,0.00472662,0.0152296,0.0179402
283,appu,14000,13869,27898,42,0.00667664,0.0172357,0.0
284,as-22,22963,797,1483,2248,0.0094703,0.0142101,0.0223261
285,astro,16046,4174,8678,11735,0.0129155,0.0103099,0.0254022
286,atmos,1270432,19927,49536,59732,0.0475683,0.0764104,0.0929645
287,av41092,41092,1182,3370,3060,0.0146921,0.0209632,0.0315332
288,barrier,113076,8979,17490,22938,0.0247772,0.0452461,0.038624
289,Baumann,112211,2744,4318,6890,0.00593869,0.0155412,0.0293058
290,bayer04,20545,85,203,284,0.00450861,0.00981696,0.0114156
291,bbmat,38744,1196,2950,4251,0.00589414,0.00927411,0.0150142
292,bcsstk,13992,540,1083,1823,0.00747773,0.0106083,0.0166161
293,Ben,245874,2010,3648,5502,0.0082447,0.01426,0.0214723
294,bibd,1176,1003,1825,2596,0.00268339,0.0108068,0.0110563
295,bips,15066,75,388,326,0.00292528,0.00292886,0.00678774
296,bloweya,30004,5038,8044,8742,0.0151459,0.0229586,0.0277161
297,bundle,10581,1253,2766,4598,0.00833248,0.0146754,0.0194108
298,c-55,32780,4465,8387,9276,0.0136376,0.0197696,0.0321913
299,c-61,43618,2754,5022,5440,0.0167303,0.0266477,0.0258514
300,c-64,51035,1194,7859,12347,0.0775172,0.145222,0.154309
301,CondMat,23133,5669,10082,13516,0.0115311,0.0199364,0.0195092
302,cage10,11397,2491,5396,6767,0.00450246,0.00780144,0.0111383
303,ccc,49152,75,4275,7625,0.00468595,0.0143062,0.0120478
304,cfd,70656,2316,4340,7709,0.00956538,0.0194381,0.0210505
305,Chem97Zt,2541,35,72,75,0.00445994,0.00625478,0.00895011
306,circuit,12127,1347,2487,4548,0.0182344,0.030462,0.0361764
307,ckt,49702,176,2616,2459,0.015795,0.025915,0.0373841
308,cnr,247501,51,229,1114,0.0133584,0.0216338,0.0355984
309,conf5_4,49152,0,9441,16110,0.00405443,0.00967125,0.0112331
310,copter,17222,1100,4162,3548,0.00442512,0.00935491,0.0126278
311,coupled,11341,2105,3969,4710,0.0132928,0.0240559,0.0266591
