id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
349,HEP,4906,15.344,8444,27.043,9293,25.57,24541
350,HTC,1550,13.436,2832,24.743,5106,23.892,226340
351,hvdc1,62,1.021,80,1.242,106,1.778,24842
352,IG5,10621,12.373,16283,28.18,20947,29.971,30162
353,Ill,1148,2.646,1572,3.81,2256,5.028,20896
354,interp,800,7.745,1555,19.508,1915,21.311,232485
355,IMDB,23393,758.939,36985,973.867,40699,1262.935,303617
356,ibm01,181,0.551,368,1.501,497,1.563,14111
357,ibm02,262,1.193,340,1.916,622,2.513,19584
358,ibm03,969,1.784,1507,4.558,1704,4.777,27401
359,ibm04,536,2.521,1182,3.546,1761,4.93,31970
360,ibm05,1756,3.816,2654,6.76,3115,7.244,28446
361,ibm06,907,3.583,1257,4.586,1710,5.475,34826
362,ibm07,914,5.238,1782,8.36,2364,9.577,48117
363,ibm08,1143,4.703,2275,8.811,2434,10.449,50513
364,ibm09,638,3.832,1368,8.361,1748,8.885,60902
365,ibm10,1289,8.286,1962,16.322,2440,17.146,75196
366,ibm11,960,4.96,1826,11.232,2387,12.617,81454
367,ibm12,2088,10.753,2925,21.795,3893,21.248,77240
368,ibm13,868,7.481,1232,14.64,1776,14.622,99666
369,ibm14,1906,23.748,2870,41.503,3314,41.671,152772
370,ibm15,2657,23.811,4225,39.969,5335,48.541,186608
371,ibm16,1758,26.448,3802,54.133,3906,55.009,190048
372,kim1,772,6.995,1248,12.658,1536,12.946,38415
373,kkt,12066,385.174,14316,526.254,22358,571.75,2063494
374,duct3D,1866,11.528,3732,16.297,4948,19.483,67173
375,lhr14,97,0.534,162,1.362,254,1.208,14270
376,li,1978,7.682,4004,12.918,6318,19.04,22695
377,tissue,484,3.146,798,4.663,954,5.282,29282
378,Lin,6400,37.772,8294,87.216,12314,78.255,256000
379,lp_nug,5911,6.97,9438,15.074,11650,11.092,15240
380,lp_pds,700,4.557,1509,9.718,2120,8.837,33798
381,lung,4,2.443,12,3.992,16,4.798,109460
382,m14b,1821,80.721,3820,162.004,6100,172.737,214765
383,mac,306,21.983,612,34.439,918,41.39,206500
384,Maragal,2090,1.87,2090,2.81,2124,5.521,21251
385,mc2depi,769,43.743,1538,60.084,2307,77.772,525825
386,mixtank,2943,9.615,4362,23.298,5303,21.391,29957
387,mono,7569,62.192,11839,168.285,14981,141.396,169410
388,mri1,487,10.903,745,18.548,924,21.787,65536
389,msc,10683,0.471,6321,4.607,5853,2.335,10848
390,msdoor,1645,74.141,3129,128.674,4130,161.749,415863
391,mult_dcop,10021,3.268,13618,7.829,15678,7.027,25187
392,nasasrb,540,7.509,1080,9.095,1620,12.924,54870
393,nd12k,36000,7.358,15820,46.06,36000,18.937,36000
394,net100,13018,5.205,18999,14.944,19956,15.934,29920
395,nopoly,50,0.587,102,1.19,118,1.108,10774
396,actors,12715,113.899,16034,189.638,18993,193.154,383640
397,www,562,16.584,762,43.049,2542,37.867,137941
398,obstclae,396,1.663,540,3.285,771,3.313,40000
399,olafu,768,2.229,1020,4.018,1224,3.539,16146
400,opt1,15291,0.742,8850,5.464,8952,3.638,15449
401,Oregon,718,0.488,889,0.922,859,0.957,11174
402,p2p,2829,3.902,3713,8.083,4090,7.44,6221
403,para,6053,79.083,10021,88.988,13199,121.832,153226
404,parabolic,1026,51.885,2052,85.859,2972,110.404,525825
405,Pd,0,0.021,0,0.049,0,0.047,4371
406,pdb,13526,10.421,15834,17.728,11277,17.126,36417
407,pds,2962,24.203,3672,49.933,4064,54.453,142596
408,pesa,70,0.595,111,1.104,166,1.157,11738
409,PGP,353,0.871,496,1.269,643,1.459,10680
